airport_id,bird_population,bird_strike_count,flight_count,bird_flight_ratio
RIC,0.4666666666666667,2.0,2230.0,0.0008968609865470852
SHV,0.506896551724138,4.0,683.0,0.0058565153733528
JAX,0.78515625,4.0,3171.0,0.0012614317250078
LIT,0.4758620689655172,7.0,1231.0,0.0056864337936636
TYS,0.312,2.0,1893.0,0.0010565240359218
FLL,0.0,2.0,8646.0,0.0002313208420078649
CHS,0.00390625,6.0,2579.0,0.0023264831329972
MYR,0.0078125,1.0,930.0,0.0010752688172043
MCI,0.7881944444444444,9.0,4914.0,0.0018315018315018
ASE,0.1176470588235294,1.0,347.0,0.0028818443804034
PDX,0.0581395348837209,4.0,6978.0,0.0005732301519059903
SJT,0.7931034482758621,3.0,143.0,0.0209790209790209
BTV,0.0,1.0,806.0,0.0012406947890818
TRI,0.0037593984962406,1.0,352.0,0.002840909090909
PGV,0.3884615384615384,1.0,125.0,0.008
CMH,0.0,5.0,4006.0,0.0012481278082875
SAV,0.0,2.0,1637.0,0.0012217470983506
STL,0.5185185185185185,7.0,7803.0,0.0008970908624887864
SAT,0.6438356164383562,10.0,3492.0,0.0028636884306987
HOU,0.5896551724137931,4.0,6562.0,0.0006095702529716549
MDW,0.024,1.0,9562.0,0.00010458063166701528
BFL,0.5666666666666667,1.0,195.0,0.0051282051282051
SUX,0.8461538461538461,1.0,45.0,0.0222222222222222
ONT,0.5036231884057971,3.0,2089.0,0.0014360938247965
ALB,0.0,2.0,1196.0,0.0016722408026755
SGF,0.1178343949044586,4.0,748.0,0.0053475935828877
IND,0.183206106870229,5.0,4442.0,0.0011256190904997
CAE,0.70703125,1.0,1030.0,0.000970873786407767
IAD,0.0037037037037037,2.0,6870.0,0.0002911208151382824
OMA,1.0,4.0,2077.0,0.0019258545979778
MKG,0.7022900763358778,1.0,40.0,0.025
MCO,0.1090225563909774,11.0,13721.0,0.0008016908388601414
AUS,0.8689655172413793,8.0,5836.0,0.0013708019191226
DEN,0.4669117647058823,6.0,32165.0,0.0001865381625990984
LEX,0.0,2.0,1190.0,0.0016806722689075
LWB,0.1353383458646616,1.0,160.0,0.00625
DAB,0.144927536231884,1.0,353.0,0.0028328611898017
BHM,0.98,1.0,1952.0,0.0005122950819672131
RSW,0.6428571428571429,2.0,2517.0,0.0007945967421533572
BUR,0.3,2.0,3042.0,0.0006574621959237344
OAJ,0.1851851851851851,1.0,389.0,0.0025706940874035
FWA,0.2826086956521739,1.0,634.0,0.001577287066246
DTW,0.0,5.0,17766.0,0.0002814364516492176
PSM,0.0,1.0,36.0,0.0277777777777777
TUL,0.6770833333333334,7.0,1572.0,0.0044529262086513
SMF,0.5526315789473685,4.0,5152.0,0.0007763975155279503
BWI,0.0925925925925925,4.0,11402.0,0.00035081564637782847
BDL,0.0,1.0,2601.0,0.00038446751249519417
ICT,0.9775641025641024,1.0,849.0,0.0011778563015312
GRB,0.6066176470588235,2.0,486.0,0.0041152263374485
SBN,0.2058823529411764,1.0,549.0,0.0018214936247723
JFK,0.0,10.0,9914.0,0.0010086746015735
GJT,0.0,1.0,342.0,0.0029239766081871
RDU,0.84375,6.0,6229.0,0.0009632364745545032
XNA,0.0616438356164383,2.0,1190.0,0.0016806722689075
ORD,0.1066176470588235,18.0,40530.0,0.00044411547002220575
SDF,0.0877862595419847,3.0,2300.0,0.0013043478260869
RNO,0.0,1.0,1989.0,0.0005027652086475615
BOS,0.0,5.0,12861.0,0.00038877225721172535
SBA,0.0,1.0,552.0,0.0018115942028985
IAH,0.9615384615384616,8.0,20703.0,0.0003864174274259769
ELP,0.312,3.0,1342.0,0.0022354694485842
TYR,0.4583333333333333,1.0,98.0,0.010204081632653
GPT,0.0034013605442176,2.0,403.0,0.0049627791563275
CHO,0.0071428571428571,1.0,699.0,0.0014306151645207
ABE,0.3840579710144927,2.0,496.0,0.0040322580645161
TPA,0.0108695652173913,8.0,6917.0,0.0011565707676738
DAY,0.0471014492753623,1.0,1524.0,0.0006561679790026247
CLT,0.7443609022556391,7.0,25607.0,0.0002733627523723982
PIA,0.7794117647058824,1.0,392.0,0.0025510204081632
SFB,0.37109375,6.0,843.0,0.0071174377224199
CKB,0.0688405797101449,1.0,75.0,0.0133333333333333
DAL,1.0,2.0,7792.0,0.0002566735112936345
EWR,0.0760869565217391,4.0,11998.0,0.0003333888981496916
LFT,0.0445205479452054,1.0,349.0,0.0028653295128939
CRP,0.1217948717948717,2.0,548.0,0.0036496350364963
LAS,0.0,1.0,15876.0,6.298815822625347e-05
PIT,0.0,3.0,4572.0,0.0006561679790026247
TUS,0.0,1.0,1317.0,0.0007593014426727411
PHX,0.5703125,1.0,18263.0,5.4755516618299294e-05
SPI,0.660958904109589,1.0,150.0,0.0066666666666666
EYW,0.015625,4.0,420.0,0.0095238095238095
SNA,0.0,4.0,4081.0,0.00098015192354815
FSD,0.4713375796178344,1.0,699.0,0.0014306151645207
STS,0.2669172932330827,2.0,383.0,0.0052219321148825
MSP,0.0034482758620689,1.0,16987.0,5.8868546535586034e-05
ABQ,0.3152173913043478,4.0,2113.0,0.0018930430667297
CVG,0.0954198473282442,9.0,4327.0,0.0020799630228795
GTR,0.5,1.0,118.0,0.0084745762711864
BLI,0.0693430656934306,2.0,242.0,0.0082644628099173
MOT,0.5,1.0,306.0,0.0032679738562091
DCA,0.0,3.0,12291.0,0.000244081034903588
GRR,0.0381679389312977,3.0,1770.0,0.0016949152542372
DFW,0.9745222929936306,12.0,31775.0,0.0003776553894571204
SJC,0.0,1.0,6283.0,0.0001591596371160274
LGA,0.0,4.0,13785.0,0.0002901704751541531
LAX,0.0,1.0,19965.0,5.008765339343852e-05
PBI,0.0,1.0,1883.0,0.0005310674455655868
MEM,0.0,5.0,2096.0,0.0023854961832061
BMI,0.3888888888888889,1.0,229.0,0.0043668122270742
CAK,0.0,1.0,623.0,0.0016051364365971
SLC,0.5,5.0,11837.0,0.0004224043254202923
CLE,0.0,2.0,4739.0,0.000422029964127453
BOI,1.0,1.0,2227.0,0.000449034575662326
AGS,0.5253623188405797,10.0,649.0,0.0154083204930662
MIA,0.0,3.0,7868.0,0.0003812913065582105
PVD,0.0,1.0,1726.0,0.0005793742757821553
TTN,0.974074074074074,1.0,260.0,0.0038461538461538
HGR,0.0,1.0,15.0,0.0666666666666666
MHT,0.0,1.0,908.0,0.001101321585903
BUF,0.0,2.0,2234.0,0.0008952551477170994
SCK,0.5,1.0,130.0,0.0076923076923076
PSC,0.6240601503759399,1.0,592.0,0.0016891891891891
GRK,0.4551724137931034,1.0,265.0,0.0037735849056603
PHL,0.4921875,6.0,14231.0,0.0004216147846251142
MFE,0.7431506849315068,3.0,543.0,0.005524861878453
LBB,0.1541095890410959,1.0,477.0,0.0020964360587002
TLH,0.2938931297709923,1.0,643.0,0.0015552099533437
EVV,0.312,1.0,342.0,0.0029239766081871
LGB,0.0,3.0,1458.0,0.0020576131687242
DSM,0.8047945205479452,4.0,1178.0,0.0033955857385398
